[2013/2/1 - 10:38:36] AdmCmd: Curtis Floyd has been kicked by DeAndre Moore (74.140.131.247), reason: Relog
[2013/2/1 - 13:19:45] AdmCmd: Adam West has been kicked by Alexander Greco (24.138.34.70), reason: relog
[2013/2/7 - 20:56:35] AdmCmd: Danny Kovalchuk has been kicked by Danny Kovalchuk (98.27.166.151), reason: nigger
[2013/2/9 - 12:6:18] AdmCmd: Justin Case has been skicked by Justin Case (213.89.73.52), reason: Test
[2013/2/11 - 8:32:36] AdmCmd: Dima Kot has been kicked by Josh Cave (74.104.3.182), reason: RElog
[2013/2/11 - 9:39:48] AdmCmd: aj naga has been kicked by Josh Cave (74.104.3.182), reason: Non-RP Name.
[2013/2/11 - 9:42:41] AdmCmd: aj naga has been kicked by Riley Flynn (76.72.28.38), reason: NON RP name Ex:[ Dwayne Hazel ]
[2013/2/11 - 9:44:33] AdmCmd: aj naga has been kicked by Riley Flynn (76.72.28.38), reason: NON RP name
[2013/2/11 - 9:45:54] AdmCmd: aj naga has been kicked by Riley Flynn (76.72.28.38), reason: Non Rp Name.
[2013/2/17 - 7:16:31] AdmCmd: Micheal Thopmson has been kicked by Micheal Thopmson (99.47.133.137), reason: req
[2017/7/12 - 14:8:30] AdmCmd: Oscar Pinto has been kicked by Victoria Robles (186.31.12.213), reason: skdja
[2017/7/12 - 14:9:4] AdmCmd: Gio Marica has been kicked by Victoria Robles (186.31.12.213), reason: Nombre muy maricón 
[2017/7/12 - 22:58:57] AdmCmd: Gio Maricaaa has been kicked by Oscar Pinto (127.0.0.1), reason: bot
[2017/7/13 - 13:1:19] AdmCmd: Oscar Pinto has been kicked by Oscar Pinto (127.0.0.1), reason: relog
[2017/7/14 - 0:10:10] AdmCmd: Gio Marica has been kicked by Bot Admin (187.138.210.3), reason: Cambiate el nombre
[2017/7/14 - 0:30:56] AdmCmd: Uncle rob has been kicked by Bot Admin (187.138.210.3), reason: perra
[2017/7/14 - 0:31:0] AdmCmd: Uncle rob has been kicked by Bot Admin (187.138.210.3), reason: perra
[2017/7/14 - 0:31:3] AdmCmd: Uncle rob has been kicked by Bot Admin (187.138.210.3), reason: perra
[2017/7/31 - 19:11:57] AdmCmd: Francis Drake has been kicked by Francis Drake (200.2.246.2), reason: Basket
[2017/7/31 - 19:57:28] AdmCmd: Roosvelt Prieto has been kicked by Oscar Pinto (201.244.233.235), reason: a
[2017/8/1 - 5:35:24] AdmCmd: Miguel Rodriguez has been kicked by Miguel Rodriguez (190.203.116.205), reason: .
[2017/8/3 - 19:8:16] AdmCmd: Camilo Rojas has been kicked by Miguel Rodriguez (186.94.196.65), reason: afk
[2017/8/6 - 1:49:46] AdmCmd: Vinnie Paz has been kicked by Jhon Mustang (201.244.233.235), reason: AFK
[2017/9/20 - 23:47:7] Administración: Miguel Salvatore ha sido expulsado por Miguel Salvatore (192.168.1.2), razon: .
[2018/4/5 - 5:27:19] Administración: Oscar Pinto ha sido expulsado por Miguel Salvatore (190.73.14.73), razon: relog
[2018/4/6 - 1:32:23] Administración: Sahir Khalid ha sido expulsado por Oscar Pinto (190.24.178.163), razon: afk
[2018/4/6 - 2:51:21] Administración: Camilo Rojas ha sido expulsado por Miguel Salvatore (190.73.14.73), razon: afk
[2018/4/6 - 2:51:26] Administración: Jefferson Porras ha sido expulsado por Miguel Salvatore (190.73.14.73), razon: afk
[2018/4/6 - 23:40:57] Administración: Nick Vasquez ha sido expulsado por Alsakarim Khalid (190.201.19.223), razon: HACKER ACA NO
[2018/4/8 - 3:16:59] Administración: Nicolas Jackson ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Te calmas y vuelves
[2018/4/8 - 3:17:3] Administración: Darwin Chacon ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Te calmas y vuelves
[2018/4/8 - 18:27:8] Administración: Pablo Escobar ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Cambiate el nombre
[2018/4/9 - 4:57:31] Administración: Emanuel Bonilla ha sido expulsado por Miguel Salvatore (190.73.14.73), razon: mucho tiempo en log
[2018/4/9 - 20:11:55] Administración: Nick Vasquez ha sido expulsado por Kevin Chacon (191.109.125.144), razon: Flood
[2018/4/9 - 20:13:42] Administración: Nick Vasquez ha sido expulsado por Kevin Chacon (191.109.125.144), razon: .
[2018/4/10 - 0:44:43] Administración: luciano zemmouri ha sido expulsado por Oscar Pinto (190.24.178.163), razon: TE faltan las ayúsculas
[2018/4/10 - 0:46:32] Administración: luciano zemmouri ha sido expulsado por Alsakarim Khalid (190.201.19.223), razon: Nombre_Apellido ---> Respeta f
[2018/4/10 - 0:47:51] Administración: Luciano zemmouri ha sido expulsado por Santiago Martin (186.48.185.208), razon: Mal nombre Apellido mayuscula p
[2018/4/10 - 1:33:52] Administración: Kevin Chacon ha sido expulsado por Oscar Pinto (190.24.178.163), razon: te calmas y vuelves
[2018/4/10 - 1:41:34] Administración: Alsakarim Khalid ha sido expulsado por Miguel Salvatore (190.73.14.73), razon: Relog 
[2018/4/10 - 1:50:48] Administración: Kevin Chacon ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Relogea
[2018/4/10 - 17:6:42] Administración: Agustin Chacon ha sido expulsado por Oscar Pinto (190.24.178.163), razon: relogea por favor
[2018/4/10 - 17:9:11] Administración: Santiago Martin ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Relogea
[2018/4/10 - 17:11:54] Administración: Alsakarim Khalid ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Relogea por favor
[2018/4/10 - 17:13:17] Administración: Manolo Perez ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Relogea por favor
[2018/4/10 - 20:42:6] Administración: Oscar Pinto ha sido expulsado por Oscar Pinto (190.24.178.163), razon: relogea maldito
[2018/4/10 - 20:57:53] Administración: Alsakarim Khalid ha sido expulsado por Oscar Pinto (190.24.178.163), razon: AFK
[2018/4/10 - 21:30:41] Administración: Stefano Priciani ha sido expulsado por Oscar Pinto (190.24.178.163), razon: relogea 
[2018/4/11 - 3:13:45] Administración: Alfonso hoegaarden ha sido expulsado por Igor Spopovich (190.207.203.105), razon: Mal Formato Apellido_Nombre (
[2018/4/11 - 3:24:47] Administración: Joseph Maquera ha sido expulsado por Miguel Salvatore (190.38.157.90), razon: Quitate eso y vuelve
[2018/4/11 - 3:48:16] Administración: Matias Carlito ha sido expulsado por Igor Spopovich (190.207.203.105), razon: AFK en Jail
[2018/4/11 - 5:26:59] Administración: Frenddys Martinez ha sido expulsado por Igor Spopovich (190.207.203.105), razon: AVP (AFK EN VIA PUBLICA)
[2018/4/11 - 17:40:48] Administración: Elias Chacon ha sido expulsado por Oscar Pinto (190.24.178.163), razon: relogea por favor
[2018/4/11 - 20:35:37] Administración: sebastian price ha sido expulsado por Oscar Pinto (190.24.178.163), razon: Iniciales en MAyúsuclas
[2018/4/11 - 20:58:40] Administración: Stefano Priciani ha sido expulsado por Oscar Pinto (190.24.178.163), razon: relogea
[2018/4/11 - 22:54:10] Administración: Sebastian Herrnandez ha sido expulsado por Igor Spopovich (190.207.203.105), razon: Mal Formato Nombre_Apellido
[2018/4/12 - 20:54:50] Administración: Anfel Lorenzo ha sido expulsado por Miguel Salvatore (190.38.157.90), razon: Sacate eso 
[2018/4/14 - 1:48:6] Administración: Rodrigo Mzienski ha sido expulsado por Santiago Martin (179.25.102.82), razon: AFK en jail
[2018/4/14 - 2:26:22] Administración: Matias Carlito ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en via Publica
[2018/4/14 - 3:36:11] Administración: Thomas Carrick ha sido expulsado por Alsakarim Khalid (190.201.19.223), razon: Deja de joder..
[2018/4/14 - 3:44:30] Administración: Alsakarim Khalid ha sido expulsado por Alsakarim Khalid (190.201.19.223), razon: Adios ire a tomar un Kfesito
[2018/4/14 - 17:56:38] Administración: Matias Carlito ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en Via Publica
[2018/4/15 - 1:8:29] Administración: Diego Perez ha sido expulsado por Brayan Osorio (181.49.77.112), razon: Rologuea
[2018/4/15 - 1:28:45] Administración: Lucas Almario ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en via publica
[2018/4/15 - 1:29:1] Administración: Jefferson Porras ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en via publica
[2018/4/15 - 1:42:51] Administración: Stefano Priciani ha sido expulsado por Alsakarim Khalid (190.201.19.223), razon: SHUPAMELA
[2018/4/15 - 17:12:28] Administración: Erinyel Marquez ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en via Publica
[2018/4/16 - 4:3:3] Administración: Zergio Drugs ha sido expulsado por Oscar Pinto (186.29.96.166), razon: relogea
[2018/4/17 - 4:37:45] Administración: Jack Korsakoff ha sido expulsado por Oscar Pinto (186.29.96.166), razon: asdf
[2018/4/17 - 19:46:37] Administración: Gonzalo Gonzalez ha sido expulsado por Brayan Osorio (181.49.77.112), razon: Nombre_Apellido <- Mejoralo y entr
[2018/4/17 - 21:48:20] Administración: Charlotte Spopovich ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en Via Publica
[2018/4/18 - 0:52:58] Administración: Frenddys Martinez ha sido expulsado por Charlotte Spopovich (190.201.19.223), razon: AFK --- > En via Publica
[2018/4/18 - 1:34:6] Administración: Annie Loher ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: No mames Deja el Netflix
[2018/4/19 - 3:3:51] Administración: Charlotte Spopovich ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: Ya vete ctm xD
[2018/4/19 - 16:11:47] Administración: Charlotte Spopovich ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: Ya vete con tu abuelita
[2018/4/19 - 22:38:43] Administración: Derek Kahler ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en Via Publica
[2018/4/20 - 3:25:41] Administración: Jack Korsakoff ha sido expulsado por Brayan Osorio (181.49.77.112), razon: Nombres_Apellidos Corrige el Apellid
[2018/4/20 - 3:27:20] Administración: Luis McCall ha sido expulsado por Brayan Osorio (181.49.77.112), razon: Nombres_Apellidos Corrige el Apellido.
[2018/4/21 - 4:12:16] Administración: Agustin Acuna ha sido expulsado por Brayan Osorio (181.49.77.112), razon: AFK en JAIL
[2018/4/21 - 19:24:21] Administración: caps dias ha sido expulsado por Charlotte Spopovich (190.79.25.137), razon: Nombre_Apellido -----> Respeta el f
[2018/4/21 - 19:28:54] Administración: andrew lindao ha sido expulsado por Charlotte Spopovich (190.79.25.137), razon: Nombre y apellido iniciales en 
[2018/4/21 - 19:30:2] Administración: andrew lindao ha sido expulsado por Charlotte Spopovich (190.79.25.137), razon: Andrew_Lindao ---> Respeta form
[2018/4/21 - 21:23:41] Administración: Ferney Ramos ha sido expulsado por Brayan Osorio (181.49.79.48), razon: AFK en Via Publica
[2018/4/22 - 17:54:37] Administración: santi clutch ha sido expulsado por Oscar Pinto (186.29.96.166), razon: Formato de Nombre
[2018/4/22 - 19:31:33] Administración: Agustin Acuna ha sido expulsado por Brayan Osorio (181.49.79.48), razon: AFK en JAIL
[2018/4/22 - 20:28:25] Administración: Brayan Osorio ha sido expulsado por Oscar Pinto (186.29.96.166), razon: relogea
[2018/4/22 - 22:57:7] Administración: Brayan Ramirez ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: Relog
[2018/4/24 - 0:38:15] Administración: Elizabeth Spopovich ha sido expulsado por Miguel Salvatore (190.38.157.90), razon: .
[2018/4/24 - 14:37:1] Administración: Isaac Rufino ha sido expulsado por Brayan Osorio (181.49.72.48), razon: reloguea
[2018/4/25 - 4:2:36] Administración: Jack Sumgrace ha sido expulsado por Brayan Osorio (181.49.72.48), razon: No Spam aqui
[2018/4/25 - 16:15:13] Administración: Desba neame ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: SPAM 
[2018/4/25 - 19:48:19] Administración: Ioshua Salinas ha sido expulsado por Brayan Osorio (181.49.73.240), razon: Nombres_Apellidos Pon Loshua
[2018/4/25 - 20:9:37] Administración: Ferney Ramos ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: AVP 
[2018/4/26 - 1:46:42] Administración: Isaac Rufino ha sido expulsado por Brayan Osorio (181.49.73.240), razon: AVP
[2018/4/27 - 21:28:29] Administración: Johan Garzon ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AVP
[2018/4/27 - 23:58:14] Administración: Lebron McTavish ha sido expulsado por Brayan Osorio (181.49.73.240), razon: Aqui no insultes el SV
[2018/4/28 - 21:21:49] Administración: Isaac Rufino ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AVP
[2018/4/29 - 1:55:21] Administración: Diego Mavarez ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Relog , Estas bug
[2018/4/29 - 3:21:34] Administración: Charlotte Spopovich ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: Ping Excesivo
[2018/4/29 - 15:47:50] Administración: Mohamed Alhadabi ha sido expulsado por Oscar Pinto (186.29.96.166), razon: Relogea por favor
[2018/4/29 - 16:5:51] Administración: Mohamed Alhadabi ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AVP
[2018/4/29 - 17:37:5] Administración: Charlotte Spopovich ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AFK en JAIl
[2018/4/29 - 19:1:14] Administración: Eduar Santa ha sido expulsado por Elizabeth Spopovich (190.207.203.105), razon: Adios :* Vete a fenix bb
[2018/4/30 - 14:47:7] Administración: Jowet McGregor ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Aca no trates mal al sv
[2018/4/30 - 16:49:39] Administración: Isaac Rufino ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AVP
[2018/5/1 - 20:25:3] Administración: Asaff Khatab ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Aca no trates mal al sv
[2018/5/2 - 18:26:22] Administración: Brayan Osorio ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AVP
[2018/5/3 - 23:46:58] Administración: Ferney Ramos ha sido expulsado por Brayan Osorio (181.49.78.176), razon: AVP
[2018/5/4 - 16:9:55] Administración: Ferney Ramos ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Aca no Cleos
[2018/5/4 - 16:28:27] Administración: Brayan Osorio ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Aca no cleos.
[2018/5/4 - 18:38:7] Administración: Ali Mohammed ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Relog porfavor
[2018/5/5 - 0:55:30] Administración: Bruno MojametJemir ha sido expulsado por Brayan Osorio (181.49.78.176), razon: Relogea , porfavor , Gracias.
