[2017/7/14 - 0:20:34] AdmWarn: Bot Admin has created mapicon ID 10.
[2017/7/14 - 0:22:51] AdmWarn: Bot Admin has deleted mapicon ID 12.
[2017/7/14 - 0:23:2] AdmWarn: Bot Admin has created mapicon ID 12.
[2017/7/20 - 20:34:44] AdmWarn: Oscar Pinto has created mapicon ID 29.
[2017/7/20 - 20:35:2] AdmWarn: Oscar Pinto has created mapicon ID 30.
[2017/7/31 - 17:44:13] AdmWarn: Oscar Pinto has created mapicon ID 31.
[2017/7/31 - 17:44:31] AdmWarn: Oscar Pinto has created mapicon ID 32.
[2017/7/31 - 18:14:56] AdmWarn: Oscar Pinto has created mapicon ID 33.
[2017/7/31 - 18:16:16] AdmWarn: Oscar Pinto has created mapicon ID 34.
[2017/7/31 - 18:16:36] AdmWarn: Oscar Pinto has created mapicon ID 35.
[2017/7/31 - 18:16:53] AdmWarn: Oscar Pinto has created mapicon ID 36.
[2017/7/31 - 18:21:52] AdmWarn: Oscar Pinto has created mapicon ID 37.
[2017/7/31 - 18:22:51] AdmWarn: Oscar Pinto has created mapicon ID 38.
[2017/8/2 - 20:1:47] AdmWarn: Oscar Pinto has created mapicon ID 39.
[2017/8/2 - 20:23:55] AdmWarn: Oscar Pinto has created mapicon ID 40.
[2017/8/5 - 20:2:37] AdmWarn: Jhon Mustang has created mapicon ID 41.
[2018/4/12 - 22:52:31] Administración: Oscar Pinto has created mapicon ID 42.
